"transcript.id"	"transcript.type"	"total.reads"	"aligned.max"	"alignment.mid"	"alignment.min"	"alignment.score"	"adjusted.score"
ENST00000341469.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000279263.9	protein_coding	1	1	0	0	1.0	8363.0
ENST00000248248.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000362019.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000333926.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000560589.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000296417.5	protein_coding	2	1	1	0	1.0	8363.0
ENST00000260197.9	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000325212.8	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000540028.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000467115.1	unprocessed_pseudogene	1	1	0	0	1.0	8363.0
ENST00000529196.3	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000361381.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000270815.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000372351.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000287461.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000552783.3	protein_coding	2	1	1	0	1.0	8363.0
ENST00000589222.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000215980.7	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000320270.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000371477.3	protein_coding	18	18	0	0	7.743524375139592E-9	6.47590943492924E-5
ENST00000423485.3	protein_coding	146	131	11	4	2.4195266306180602E-45	2.0234501211858838E-41
ENST00000295802.6	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000531455.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000266529.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000367058.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000373371.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000402157.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000263121.9	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000353196.3	protein_coding	30	27	2	1	4.995018432980526E-10	4.177333915501614E-6
ENST00000397066.6	protein_coding	11	9	2	0	0.00411522633744856	34.415637860082306
ENST00000242059.7	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000257836.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000336292.8	protein_coding	2	1	1	0	1.0	8363.0
ENST00000306177.7	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000251527.7	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000253794.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000466490.4	protein_coding	4	2	2	0	1.0	8363.0
ENST00000322680.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000270708.9	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000331373.7	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000272317.8	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000335953.6	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000371224.4	protein_coding	26	23	3	0	2.6145754531697512E-8	2.1865694514858628E-4
ENST00000420843.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000337682.6	protein_coding	2	1	1	0	1.0	8363.0
ENST00000315872.8	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000389906.4	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000358232.8	protein_coding	17	14	2	1	1.398248196418956E-4	1.1693549666651728
ENST00000287474.7	protein_coding	2	1	1	0	1.0	8363.0
ENST00000444823.1	processed_pseudogene	1	1	0	0	1.0	8363.0
ENST00000511685.3	protein_coding	20	19	1	0	3.5276055486747025E-8	2.9501365203566537E-4
ENST00000370995.4	protein_coding	7	6	1	0	0.0205761316872428	172.0781893004115
ENST00000509018.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000513281.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000264657.7	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000605260.1	antisense	1	1	0	0	1.0	8363.0
ENST00000320985.12	protein_coding	2	1	1	0	1.0	8363.0
ENST00000203630.7	protein_coding	14	13	1	0	1.81895387572029E-5	0.15211911262648786
ENST00000373647.6	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000398203.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000271715.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000289119.4	protein_coding	2	1	1	0	1.0	8363.0
ENST00000343986.6	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000261191.9	protein_coding	7	6	1	0	0.0205761316872428	172.0781893004115
ENST00000461153.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000515059.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000040738.7	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000381031.5	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000390658.2	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000332118.8	protein_coding	5	4	1	0	0.13580246913580246	1135.716049382716
ENST00000396344.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000014914.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000430436.3	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000338222.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000294785.7	protein_coding	9	8	1	0	0.002895900015241579	24.218411827465328
ENST00000368328.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000367739.6	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000477593.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000265113.6	protein_coding	2	1	1	0	1.0	8363.0
ENST00000457308.3	protein_coding	9	8	1	0	0.002895900015241579	24.218411827465328
ENST00000429541.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000542068.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000382554.3	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000374787.5	protein_coding	6	6	0	0	0.00411522633744856	34.415637860082306
ENST00000262461.4	protein_coding	6	5	1	0	0.053497942386831275	447.40329218106996
ENST00000425117.4	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000369980.5	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000264991.6	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000372257.4	protein_coding	4	2	1	1	1.0	8363.0
ENST00000429687.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000372004.5	protein_coding	2	1	1	0	1.0	8363.0
ENST00000319653.11	protein_coding	1	1	0	0	1.0	8363.0
ENST00000409784.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000272424.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000309951.7	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000356458.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000280800.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000356205.6	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000452580.2	processed_pseudogene	1	1	0	0	1.0	8363.0
ENST00000233616.6	protein_coding	8	8	0	0	4.572473708276177E-4	3.8239597622313672
ENST00000360001.8	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000414517.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000453386.4	protein_coding	14	12	1	1	2.4649961143381863E-4	2.061476250421025
ENST00000508906.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000589235.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000279036.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000581486.3	protein_coding	16	15	1	0	2.2998267394164587E-6	0.019233451021739845
ENST00000265651.5	protein_coding	5	4	1	0	0.13580246913580246	1135.716049382716
ENST00000256686.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000324685.8	protein_coding	24	24	0	0	1.062211848441645E-11	8.883277688517477E-8
ENST00000375911.1	protein_coding	1	1	0	0	1.0	8363.0
ENST00000464606.3	protein_coding	8	7	1	0	0.007773205304069501	65.00731595793324
ENST00000249923.5	protein_coding	6	4	2	0	0.3004115226337449	2512.3415637860085
ENST00000613854.1	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000409379.5	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000396464.5	protein_coding	1	1	0	0	1.0	8363.0
